Actual Arrival Date,Actual Arrival Date (Day),Actual Arrival Date (Hour),Actual Arrival Date (Minute),Actual Arrival Date (Month),Actual Arrival Date (Quarter),Actual Arrival Date (Second),Actual Arrival Date (Week),Actual Arrival Date (Year),Actual Arrival Date (Epoch days),Actual Arrival Date (Epoch seconds),Communicating With(Provider ID and Customer ID),Customer ID,Order Stage,Order Type,Ordered Date,Ordered Date (Day),Ordered Date (Hour),Ordered Date (Minute),Ordered Date (Month),Ordered Date (Quarter),Ordered Date (Second),Ordered Date (Week),Ordered Date (Year),Ordered Date (Epoch days),Ordered Date (Epoch seconds),Ordered ID,Ordered Quantity,Product IDs,Product Name,Promised Arrival Date,Promised Arrival Date (Day),Promised Arrival Date (Hour),Promised Arrival Date (Minute),Promised Arrival Date (Month),Promised Arrival Date (Quarter),Promised Arrival Date (Second),Promised Arrival Date (Week),Promised Arrival Date (Year),Promised Arrival Date (Epoch days),Promised Arrival Date (Epoch seconds),Warehouse IDs
7/12/2018,12,00,00,07,3,00,28,2018,17724,1531353600,PROVIDER1021,RETAILER1013,Order Received,Delivery,4/12/2018,12,00,00,04,2,00,15,2018,17633,1523491200,ORD1338,300,PRO1018,Banana,6/12/2018,12,00,00,06,2,00,24,2018,17694,1528761600,WNE1001
"",,,,,,,,,0,0,PROVIDER1021,RETAILER1013,Order Picked,Delivery,5/12/2018,12,00,00,05,2,00,19,2018,17663,1526083200,ORD1339,400,PRO1019,Mango,7/12/2018,12,00,00,07,3,00,28,2018,17724,1531353600,WNE1001
"",,,,,,,,,0,0,PROVIDER1021,RETAILER1013,Order Packaged,Delivery,6/12/2018,12,00,00,06,2,00,24,2018,17694,1528761600,ORD1340,500,PRO1020,Orange,8/12/2018,12,00,00,08,3,00,32,2018,17755,1534032000,WNE1001
"",,,,,,,,,0,0,PROVIDER1021,RETAILER1013,Order Shipped,Delivery,7/12/2018,12,00,00,07,3,00,28,2018,17724,1531353600,ORD1341,300,PRO1021,Strawberries,9/12/2018,12,00,00,09,3,00,37,2018,17786,1536710400,WNE1001
10/12/2018,12,00,00,10,4,00,41,2018,17816,1539302400,PROVIDER1022,RETAILER1013,Item Delivered,Delivery,8/12/2018,12,00,00,08,3,00,32,2018,17755,1534032000,ORD1342,400,PRO1022,Adobe Breads,10/12/2018,12,00,00,10,4,00,41,2018,17816,1539302400,WNE1001
"",,,,,,,,,0,0,PROVIDER1022,RETAILER1013,Ordered,Delivery,9/12/2018,12,00,00,09,3,00,37,2018,17786,1536710400,ORD1343,500,PRO1023,Liberica,11/12/2018,12,00,00,11,4,00,46,2018,17847,1541980800,WNE1001
12/12/2018,12,00,00,12,4,00,50,2018,17877,1544572800,PROVIDER1022,RETAILER1013,Order Received,Delivery,10/12/2018,12,00,00,10,4,00,41,2018,17816,1539302400,ORD1344,300,PRO1024,Excelsa,12/12/2018,12,00,00,12,4,00,50,2018,17877,1544572800,WNE1001
"",,,,,,,,,0,0,PROVIDER1022,RETAILER1013,Order Picked,Delivery,11/12/2018,12,00,00,11,4,00,46,2018,17847,1541980800,ORD1345,400,PRO1025,Bigelow�Tea�Company,12/13/2018,13,00,00,12,4,00,50,2018,17878,1544659200,WNE1001
"",,,,,,,,,0,0,PROVIDER1022,RETAILER1013,Order Packaged,Delivery,12/12/2018,12,00,00,12,4,00,50,2018,17877,1544572800,ORD1346,500,PRO1026,Yogi�Tea,12/14/2018,14,00,00,12,4,00,50,2018,17879,1544745600,WNE1001
"",,,,,,,,,0,0,PROVIDER1022,RETAILER1003,Order Shipped,Delivery,12/13/2018,13,00,00,12,4,00,50,2018,17878,1544659200,ORD1347,300,PRO1027,Chicken Packaged,12/15/2018,15,00,00,12,4,00,50,2018,17880,1544832000,WNE1001
12/16/2018,16,00,00,12,4,00,50,2018,17881,1544918400,PROVIDER1022,RETAILER1003,Item Delivered,Delivery,12/14/2018,14,00,00,12,4,00,50,2018,17879,1544745600,ORD1348,400,PRO1028,Beef Packaged,12/16/2018,16,00,00,12,4,00,50,2018,17881,1544918400,WNE1001
"",,,,,,,,,0,0,PROVIDER1022,RETAILER1003,Ordered,Delivery,12/15/2018,15,00,00,12,4,00,50,2018,17880,1544832000,ORD1349,500,PRO1029,Pork Packaged,12/17/2018,17,00,00,12,4,00,51,2018,17882,1545004800,WNE1001
12/18/2018,18,00,00,12,4,00,51,2018,17883,1545091200,PROVIDER1022,RETAILER1003,Order Received,Delivery,12/16/2018,16,00,00,12,4,00,50,2018,17881,1544918400,ORD1350,500,PRO1030,Philadelphia,12/18/2018,18,00,00,12,4,00,51,2018,17883,1545091200,WNE1001
"",,,,,,,,,0,0,PROVIDER1022,RETAILER1003,Order Picked,Delivery,12/17/2018,17,00,00,12,4,00,51,2018,17882,1545004800,ORD1351,500,PRO1031,American Garden,12/19/2018,19,00,00,12,4,00,51,2018,17884,1545177600,WNE1001
"",,,,,,,,,0,0,PROVIDER1022,RETAILER1003,Order Packaged,Delivery,12/18/2018,18,00,00,12,4,00,51,2018,17883,1545091200,ORD1352,400,PRO1032,Chicken's Egg,12/20/2018,20,00,00,12,4,00,51,2018,17885,1545264000,WNE1001
"",,,,,,,,,0,0,PROVIDER1021,RETAILER1003,Order Shipped,Delivery,12/19/2018,19,00,00,12,4,00,51,2018,17884,1545177600,ORD1353,300,PRO1033,Capcicums,12/21/2018,21,00,00,12,4,00,51,2018,17886,1545350400,WNE1001
12/22/2018,22,00,00,12,4,00,51,2018,17887,1545436800,PROVIDER1022,RETAILER1003,Item Delivered,Delivery,12/20/2018,20,00,00,12,4,00,51,2018,17885,1545264000,ORD1354,400,PRO1034,Milk Mist,12/22/2018,22,00,00,12,4,00,51,2018,17887,1545436800,WNE1001
"",,,,,,,,,0,0,PROVIDER1022,RETAILER1003,Ordered,Delivery,12/21/2018,21,00,00,12,4,00,51,2018,17886,1545350400,ORD1355,300,PRO1035,Nandini,12/23/2018,23,00,00,12,4,00,51,2018,17888,1545523200,WNE1001
12/24/2018,24,00,00,12,4,00,52,2018,17889,1545609600,PROVIDER1021,RETAILER1003,Order Received,Delivery,12/22/2018,22,00,00,12,4,00,51,2018,17887,1545436800,ORD1356,300,PRO1036,Pine Apple,12/24/2018,24,00,00,12,4,00,52,2018,17889,1545609600,WNE1001
"",,,,,,,,,0,0,PROVIDER1021,RETAILER1003,Order Picked,Delivery,12/23/2018,23,00,00,12,4,00,51,2018,17888,1545523200,ORD1357,400,PRO1037,Goava,12/25/2018,25,00,00,12,4,00,52,2018,17890,1545696000,WNE1001
"",,,,,,,,,0,0,PROVIDER1022,RETAILER1003,Order Packaged,Delivery,12/24/2018,24,00,00,12,4,00,52,2018,17889,1545609600,ORD1358,500,PRO1038,Anadama Breads,12/26/2018,26,00,00,12,4,00,52,2018,17891,1545782400,WNE1001
"",,,,,,,,,0,0,PROVIDER1022,RETAILER1003,Order Shipped,Delivery,12/25/2018,25,00,00,12,4,00,52,2018,17890,1545696000,ORD1359,400,PRO1039,Arabica,12/27/2018,27,00,00,12,4,00,52,2018,17892,1545868800,WNE1001
12/28/2018,28,00,00,12,4,00,52,2018,17893,1545955200,PROVIDER1021,RETAILER1003,Item Delivered,Delivery,12/26/2018,26,00,00,12,4,00,52,2018,17891,1545782400,ORD1360,300,PRO1040,Lettuce Leaf,12/28/2018,28,00,00,12,4,00,52,2018,17893,1545955200,WNE1001
"",,,,,,,,,0,0,PROVIDER1022,RETAILER1003,Ordered,Delivery,12/27/2018,27,00,00,12,4,00,52,2018,17892,1545868800,ORD1361,300,PRO1041,Zinfandel,12/29/2018,29,00,00,12,4,00,52,2018,17894,1546041600,WNE1001
12/30/2018,30,00,00,12,4,00,52,2018,17895,1546128000,PROVIDER1022,RETAILER1003,Order Received,Delivery,12/28/2018,28,00,00,12,4,00,52,2018,17893,1545955200,ORD1362,300,PRO1042,Syrah,12/30/2018,30,00,00,12,4,00,52,2018,17895,1546128000,WNE1001
"",,,,,,,,,0,0,PROVIDER1022,RETAILER1003,Order Picked,Delivery,12/29/2018,29,00,00,12,4,00,52,2018,17894,1546041600,ORD1363,300,PRO1043,Chardonnay,12/31/2018,31,00,00,12,4,00,53,2018,17896,1546214400,WNE1001
"",,,,,,,,,0,0,PROVIDER1022,RETAILER1003,Order Packaged,Delivery,12/30/2018,30,00,00,12,4,00,52,2018,17895,1546128000,ORD1364,300,PRO1044,Merlot,1/1/2019,01,00,00,01,1,00,01,2019,17897,1546300800,WNE1001
"",,,,,,,,,0,0,PROVIDER1022,RETAILER1003,Order Shipped,Delivery,12/31/2018,31,00,00,12,4,00,53,2018,17896,1546214400,ORD1365,0,PRO1045,Luzianne�,2/1/2019,01,00,00,02,1,00,05,2019,17928,1548979200,WNE1001
3/1/2019,01,00,00,03,1,00,09,2019,17956,1551398400,PROVIDER1022,RETAILER1003,Item Delivered,Delivery,1/1/2019,01,00,00,01,1,00,01,2019,17897,1546300800,ORD1366,0,PRO1046,Robusta,3/1/2019,01,00,00,03,1,00,09,2019,17956,1551398400,WNE1001
"",,,,,,,,,0,0,PROVIDER1022,RETAILER1003,Ordered,Delivery,2/1/2019,01,00,00,02,1,00,05,2019,17928,1548979200,ORD1367,0,PRO1047,Red Diamond,4/1/2019,01,00,00,04,2,00,13,2019,17987,1554076800,WNE1001
5/1/2019,01,00,00,05,2,00,18,2019,18017,1556668800,PROVIDER1022,RETAILER1003,Order Received,Delivery,3/1/2019,01,00,00,03,1,00,09,2019,17956,1551398400,ORD1368,0,PRO1048,Boston Brown Breads,5/1/2019,01,00,00,05,2,00,18,2019,18017,1556668800,WNE1001
"",,,,,,,,,0,0,PROVIDER1022,RETAILER1003,Order Picked,Delivery,4/1/2019,01,00,00,04,2,00,13,2019,17987,1554076800,ORD1369,0,PRO1049,Cuban Breads,6/1/2019,01,00,00,06,2,00,22,2019,18048,1559347200,WNE1001
"",,,,,,,,,0,0,PROVIDER1022,RETAILER1003,Order Packaged,Delivery,5/1/2019,01,00,00,05,2,00,18,2019,18017,1556668800,ORD1370,0,PRO1050,Grahum Breads,7/1/2019,01,00,00,07,3,00,26,2019,18078,1561939200,WNE1001
"",,,,,,,,,0,0,PROVIDER1022,RETAILER1003,Order Shipped,Delivery,6/1/2019,01,00,00,06,2,00,22,2019,18048,1559347200,ORD1371,0,PRO1051,Tazo and Teavana,8/1/2019,01,00,00,08,3,00,31,2019,18109,1564617600,WNE1001
9/1/2019,01,00,00,09,3,00,35,2019,18140,1567296000,PROVIDER1022,RETAILER1003,Item Delivered,Delivery,7/1/2019,01,00,00,07,3,00,26,2019,18078,1561939200,ORD1372,300,PRO1052,CANDLES,9/1/2019,01,00,00,09,3,00,35,2019,18140,1567296000,WNE1001
"",,,,,,,,,0,0,PROVIDER1022,RETAILER1003,Ordered,Delivery,8/1/2019,01,00,00,08,3,00,31,2019,18109,1564617600,ORD1373,400,PRO1053,FILM,10/1/2019,01,00,00,10,4,00,40,2019,18170,1569888000,WNE1001
11/1/2019,01,00,00,11,4,00,44,2019,18201,1572566400,PROVIDER1022,RETAILER1003,Order Received,Delivery,9/1/2019,01,00,00,09,3,00,35,2019,18140,1567296000,ORD1374,500,PRO1054,ARTWORK,11/1/2019,01,00,00,11,4,00,44,2019,18201,1572566400,WNE1001
"",,,,,,,,,0,0,PROVIDER1022,RETAILER1003,Order Picked,Delivery,10/1/2019,01,00,00,10,4,00,40,2019,18170,1569888000,ORD1375,300,PRO1055,PLANTS,12/1/2019,01,00,00,12,4,00,48,2019,18231,1575158400,WNE1001
"",,,,,,,,,0,0,PROVIDER1022,RETAILER1003,Order Packaged,Delivery,11/1/2019,01,00,00,11,4,00,44,2019,18201,1572566400,ORD1376,500,PRO1056,LIPSTICK,1/13/2019,13,00,00,01,1,00,02,2019,17909,1547337600,WNE1001
"",,,,,,,,,0,0,PROVIDER1022,RETAILER1003,Order Shipped,Delivery,12/1/2019,01,00,00,12,4,00,48,2019,18231,1575158400,ORD1377,400,PRO1057,COLOGNE,1/14/2019,14,00,00,01,1,00,02,2019,17910,1547424000,WNE1001
1/15/2019,15,00,00,01,1,00,03,2019,17911,1547510400,PROVIDER1022,RETAILER1003,Item Delivered,Delivery,1/13/2019,13,00,00,01,1,00,02,2019,17909,1547337600,ORD1378,300,PRO1058,MEDICINE,1/15/2019,15,00,00,01,1,00,03,2019,17911,1547510400,WNE1001
"",,,,,,,,,0,0,PROVIDER1022,RETAILER1003,Ordered,Delivery,1/14/2019,14,00,00,01,1,00,02,2019,17910,1547424000,ORD1379,300,PRO1059,Natural peanut butter,1/16/2019,16,00,00,01,1,00,03,2019,17912,1547596800,WNE1001
1/17/2019,17,00,00,01,1,00,03,2019,17913,1547683200,PROVIDER1022,RETAILER1003,Order Received,Delivery,1/15/2019,15,00,00,01,1,00,03,2019,17911,1547510400,ORD1380,300,PRO1060,Home-made cookies,1/17/2019,17,00,00,01,1,00,03,2019,17913,1547683200,WNE1001
"",,,,,,,,,0,0,PROVIDER1021,RETAILER1003,Order Picked,Delivery,1/16/2019,16,00,00,01,1,00,03,2019,17912,1547596800,ORD1381,300,PRO1061,Graden seeds,1/18/2019,18,00,00,01,1,00,03,2019,17914,1547769600,WNE1001
"",,,,,,,,,0,0,PROVIDER1021,RETAILER1003,Order Packaged,Delivery,1/17/2019,17,00,00,01,1,00,03,2019,17913,1547683200,ORD1382,400,PRO1062,Avocados,1/19/2019,19,00,00,01,1,00,03,2019,17915,1547856000,WNE1001
"",,,,,,,,,0,0,PROVIDER1022,RETAILER1003,Order Shipped,Delivery,1/18/2019,18,00,00,01,1,00,03,2019,17914,1547769600,ORD1383,300,PRO1063,Whole wheat flour,1/20/2019,20,00,00,01,1,00,03,2019,17916,1547942400,WNE1001
1/21/2019,21,00,00,01,1,00,03,2019,17917,1548028800,PROVIDER1021,RETAILER1003,Item Delivered,Delivery,1/19/2019,19,00,00,01,1,00,03,2019,17915,1547856000,ORD1384,500,PRO1064,Cut Flowers,1/21/2019,21,00,00,01,1,00,03,2019,17917,1548028800,WNE1001
"",,,,,,,,,0,0,PROVIDER1021,RETAILER1004,Ordered,Delivery,1/20/2019,20,00,00,01,1,00,03,2019,17916,1547942400,ORD1385,500,PRO1065,Apricots,1/22/2019,22,00,00,01,1,00,04,2019,17918,1548115200,WNE1001
1/23/2019,23,00,00,01,1,00,04,2019,17919,1548201600,PROVIDER1022,RETAILER1004,Order Received,Delivery,1/21/2019,21,00,00,01,1,00,03,2019,17917,1548028800,ORD1386,400,PRO1066,Asparagus,1/23/2019,23,00,00,01,1,00,04,2019,17919,1548201600,WNE1001
"",,,,,,,,,0,0,PROVIDER1021,RETAILER1004,Order Picked,Delivery,1/22/2019,22,00,00,01,1,00,04,2019,17918,1548115200,ORD1387,500,PRO1067,Beans,1/24/2019,24,00,00,01,1,00,04,2019,17920,1548288000,WNE1001
"",,,,,,,,,0,0,PROVIDER1021,RETAILER1004,Order Packaged,Delivery,1/23/2019,23,00,00,01,1,00,04,2019,17919,1548201600,ORD1388,400,PRO1068,Broccoli,1/25/2019,25,00,00,01,1,00,04,2019,17921,1548374400,WNE1001
"",,,,,,,,,0,0,PROVIDER1021,RETAILER1004,Order Shipped,Delivery,1/24/2019,24,00,00,01,1,00,04,2019,17920,1548288000,ORD1389,300,PRO1069,Black berry,1/26/2019,26,00,00,01,1,00,04,2019,17922,1548460800,WNE1001
1/27/2019,27,00,00,01,1,00,04,2019,17923,1548547200,PROVIDER1021,RETAILER1004,Item Delivered,Delivery,1/25/2019,25,00,00,01,1,00,04,2019,17921,1548374400,ORD1390,400,PRO1070,Cabbage,1/27/2019,27,00,00,01,1,00,04,2019,17923,1548547200,WNE1001
"",,,,,,,,,0,0,PROVIDER1021,RETAILER1004,Ordered,Delivery,1/26/2019,26,00,00,01,1,00,04,2019,17922,1548460800,ORD1391,500,PRO1071,Cauliflower,1/28/2019,28,00,00,01,1,00,04,2019,17924,1548633600,WNE1001
1/29/2019,29,00,00,01,1,00,05,2019,17925,1548720000,PROVIDER1021,RETAILER1004,Order Received,Delivery,1/27/2019,27,00,00,01,1,00,04,2019,17923,1548547200,ORD1392,300,PRO1072,Cherries,1/29/2019,29,00,00,01,1,00,05,2019,17925,1548720000,WNE1001
"",,,,,,,,,0,0,PROVIDER1021,RETAILER1004,Order Picked,Delivery,1/28/2019,28,00,00,01,1,00,04,2019,17924,1548633600,ORD1393,400,PRO1073,Cucumber,1/30/2019,30,00,00,01,1,00,05,2019,17926,1548806400,WNE1001
"",,,,,,,,,0,0,PROVIDER1021,RETAILER1004,Order Packaged,Delivery,1/29/2019,29,00,00,01,1,00,05,2019,17925,1548720000,ORD1394,500,PRO1074,Brinjal,1/31/2019,31,00,00,01,1,00,05,2019,17927,1548892800,WNE1001
"",,,,,,,,,0,0,PROVIDER1021,RETAILER1004,Order Shipped,Delivery,1/30/2019,30,00,00,01,1,00,05,2019,17926,1548806400,ORD1395,300,PRO1075,Grapes,1/2/2019,02,00,00,01,1,00,01,2019,17898,1546387200,WNE1001
3/2/2019,02,00,00,03,1,00,09,2019,17957,1551484800,PROVIDER1021,RETAILER1004,Item Delivered,Delivery,1/31/2019,31,00,00,01,1,00,05,2019,17927,1548892800,ORD1396,400,PRO1076,Lemons,2/2/2019,02,00,00,02,1,00,05,2019,17929,1549065600,WNE1001
"",,,,,,,,,0,0,PROVIDER1021,RETAILER1004,Ordered,Delivery,1/2/2019,02,00,00,01,1,00,01,2019,17898,1546387200,ORD1397,500,PRO1077,Lettuce,3/2/2019,02,00,00,03,1,00,09,2019,17957,1551484800,WNE1001
5/2/2019,02,00,00,05,2,00,18,2019,18018,1556755200,PROVIDER1021,RETAILER1004,Order Received,Delivery,2/2/2019,02,00,00,02,1,00,05,2019,17929,1549065600,ORD1398,300,PRO1078,Lime,4/2/2019,02,00,00,04,2,00,14,2019,17988,1554163200,WNE1001
"",,,,,,,,,0,0,PROVIDER1021,RETAILER1004,Order Picked,Delivery,3/2/2019,02,00,00,03,1,00,09,2019,17957,1551484800,ORD1399,400,PRO1079,Melon water,5/2/2019,02,00,00,05,2,00,18,2019,18018,1556755200,WNE1001
"",,,,,,,,,0,0,PROVIDER1021,RETAILER1004,Order Packaged,Delivery,4/2/2019,02,00,00,04,2,00,14,2019,17988,1554163200,ORD1400,500,PRO1080,Peach,6/2/2019,02,00,00,06,2,00,22,2019,18049,1559433600,WNE1001
"",,,,,,,,,0,0,PROVIDER1022,RETAILER1004,Order Shipped,Delivery,5/2/2019,02,00,00,05,2,00,18,2019,18018,1556755200,ORD1401,500,PRO1081,Cod,7/2/2019,02,00,00,07,3,00,27,2019,18079,1562025600,WNE1001
9/2/2019,02,00,00,09,3,00,35,2019,18141,1567382400,PROVIDER1022,RETAILER1004,Item Delivered,Delivery,6/2/2019,02,00,00,06,2,00,22,2019,18049,1559433600,ORD1402,500,PRO1082,Salmon,8/2/2019,02,00,00,08,3,00,31,2019,18110,1564704000,WNE1001
"",,,,,,,,,0,0,PROVIDER1022,RETAILER1004,Ordered,Delivery,7/2/2019,02,00,00,07,3,00,27,2019,18079,1562025600,ORD1403,400,PRO1083,Trout,9/2/2019,02,00,00,09,3,00,35,2019,18141,1567382400,WNE1001
11/2/2019,02,00,00,11,4,00,44,2019,18202,1572652800,PROVIDER1022,RETAILER1004,Order Received,Delivery,8/2/2019,02,00,00,08,3,00,31,2019,18110,1564704000,ORD1404,300,PRO1084,Tuna,10/2/2019,02,00,00,10,4,00,40,2019,18171,1569974400,WNE1001
"",,,,,,,,,0,0,PROVIDER1022,RETAILER1004,Order Picked,Delivery,9/2/2019,02,00,00,09,3,00,35,2019,18141,1567382400,ORD1405,400,PRO1085,Haddock,11/2/2019,02,00,00,11,4,00,44,2019,18202,1572652800,WNE1001
"",,,,,,,,,0,0,PROVIDER1022,RETAILER1004,Order Packaged,Delivery,10/2/2019,02,00,00,10,4,00,40,2019,18171,1569974400,ORD1406,300,PRO1086,Sea bream,12/2/2019,02,00,00,12,4,00,48,2019,18232,1575244800,WNE1001
"",,,,,,,,,0,0,PROVIDER1022,RETAILER1004,Order Shipped,Delivery,11/2/2019,02,00,00,11,4,00,44,2019,18202,1572652800,ORD1407,300,PRO1087,Plaice,2/13/2019,13,00,00,02,1,00,07,2019,17940,1550016000,WNE1001
2/15/2019,15,00,00,02,1,00,07,2019,17942,1550188800,PROVIDER1022,RETAILER1004,Item Delivered,Delivery,12/2/2019,02,00,00,12,4,00,48,2019,18232,1575244800,ORD1408,400,PRO1088,Shark,2/14/2019,14,00,00,02,1,00,07,2019,17941,1550102400,WNE1001
"",,,,,,,,,0,0,PROVIDER1022,RETAILER1004,Ordered,Delivery,2/13/2019,13,00,00,02,1,00,07,2019,17940,1550016000,ORD1409,500,PRO1089,Squid,2/15/2019,15,00,00,02,1,00,07,2019,17942,1550188800,WNE1001
2/17/2019,17,00,00,02,1,00,07,2019,17944,1550361600,PROVIDER1022,RETAILER1004,Order Received,Delivery,2/14/2019,14,00,00,02,1,00,07,2019,17941,1550102400,ORD1410,400,PRO1090,Crab,2/16/2019,16,00,00,02,1,00,07,2019,17943,1550275200,WNE1001
"",,,,,,,,,0,0,PROVIDER1022,RETAILER1004,Order Picked,Delivery,2/15/2019,15,00,00,02,1,00,07,2019,17942,1550188800,ORD1411,300,PRO1091,Chardonnay,2/17/2019,17,00,00,02,1,00,07,2019,17944,1550361600,WNE1001
"",,,,,,,,,0,0,PROVIDER1022,RETAILER1004,Order Packaged,Delivery,2/16/2019,16,00,00,02,1,00,07,2019,17943,1550275200,ORD1412,300,PRO1092,Shrimps,2/18/2019,18,00,00,02,1,00,07,2019,17945,1550448000,WNE1001
"",,,,,,,,,0,0,PROVIDER1022,RETAILER1004,Order Shipped,Delivery,2/17/2019,17,00,00,02,1,00,07,2019,17944,1550361600,ORD1413,400,PRO1093,Riesling,2/19/2019,19,00,00,02,1,00,08,2019,17946,1550534400,WNE1001
2/21/2019,21,00,00,02,1,00,08,2019,17948,1550707200,PROVIDER1022,RETAILER1004,Item Delivered,Delivery,2/18/2019,18,00,00,02,1,00,07,2019,17945,1550448000,ORD1414,500,PRO1094,Langoustine,2/20/2019,20,00,00,02,1,00,08,2019,17947,1550620800,WNE1001
"",,,,,,,,,0,0,PROVIDER1022,RETAILER1004,Ordered,Delivery,2/19/2019,19,00,00,02,1,00,08,2019,17946,1550534400,ORD1415,400,PRO1095,Pinot Grigio,2/21/2019,21,00,00,02,1,00,08,2019,17948,1550707200,WNE1001
2/25/2019,25,00,00,02,1,00,08,2019,17952,1551052800,PROVIDER1023,RETAILER1005,Item Delivered,Delivery,2/22/2019,22,00,00,02,1,00,08,2019,17949,1550793600,ORD1416A,300,PRO1096,Pinot Grigio,2/25/2019,25,00,00,02,1,00,08,2019,17952,1551052800,WNE1001
3/1/2019,01,00,00,03,1,00,09,2019,17956,1551398400,PROVIDER1023,RETAILER1005,Item Delivered,Delivery,2/27/2019,27,00,00,02,1,00,09,2019,17954,1551225600,ORD1416B,500,PRO1096,Pinot Grigio,3/1/2019,01,00,00,03,1,00,09,2019,17956,1551398400,WNE1001
"",,,,,,,,,0,0,PROVIDER1022,RETAILER1004,Order Picked,Delivery,2/21/2019,21,00,00,02,1,00,08,2019,17948,1550707200,ORD1417,300,PRO1097,Sauvignon Blanc,2/23/2019,23,00,00,02,1,00,08,2019,17950,1550880000,WNE1001
"",,,,,,,,,0,0,PROVIDER1022,RETAILER1004,Order Packaged,Delivery,2/22/2019,22,00,00,02,1,00,08,2019,17949,1550793600,ORD1418,400,PRO1098,Prawn,2/24/2019,24,00,00,02,1,00,08,2019,17951,1550966400,WNE1001
"",,,,,,,,,0,0,PROVIDER1022,RETAILER1004,Order Shipped,Delivery,2/23/2019,23,00,00,02,1,00,08,2019,17950,1550880000,ORD1419,300,PRO1099,Cabernet Sauvignon,2/25/2019,25,00,00,02,1,00,08,2019,17952,1551052800,WNE1001
2/27/2019,27,00,00,02,1,00,09,2019,17954,1551225600,PROVIDER1022,RETAILER1004,Item Delivered,Delivery,2/24/2019,24,00,00,02,1,00,08,2019,17951,1550966400,ORD1420,500,PRO1100,Crayfish,2/26/2019,26,00,00,02,1,00,09,2019,17953,1551139200,WNE1001
"",,,,,,,,,0,0,PROVIDER1022,RETAILER1004,Ordered,Delivery,2/25/2019,25,00,00,02,1,00,08,2019,17952,1551052800,ORD1421,400,PRO1101,Pinot Noir,2/27/2019,27,00,00,02,1,00,09,2019,17954,1551225600,WNE1001
1/3/2019,03,00,00,01,1,00,01,2019,17899,1546473600,PROVIDER1022,RETAILER1004,Order Received,Delivery,2/26/2019,26,00,00,02,1,00,09,2019,17953,1551139200,ORD1422,500,PRO1102,Krill,2/28/2019,28,00,00,02,1,00,09,2019,17955,1551312000,WNE1001
"",,,,,,,,,0,0,PROVIDER1022,RETAILER1004,Order Picked,Delivery,2/27/2019,27,00,00,02,1,00,09,2019,17954,1551225600,ORD1423,300,PRO1103,Syrah,1/3/2019,03,00,00,01,1,00,01,2019,17899,1546473600,WNE1001
"",,,,,,,,,0,0,PROVIDER1022,RETAILER1004,Order Packaged,Delivery,2/28/2019,28,00,00,02,1,00,09,2019,17955,1551312000,ORD1424,400,PRO1104,Barnacles,2/3/2019,03,00,00,02,1,00,05,2019,17930,1549152000,WNE1001
"",,,,,,,,,0,0,PROVIDER1022,RETAILER1004,Order Shipped,Delivery,1/3/2019,03,00,00,01,1,00,01,2019,17899,1546473600,ORD1425,500,PRO1105,Land snails,3/3/2019,03,00,00,03,1,00,09,2019,17958,1551571200,WNE1001
5/3/2019,03,00,00,05,2,00,18,2019,18019,1556841600,PROVIDER1022,RETAILER1004,Item Delivered,Delivery,2/3/2019,03,00,00,02,1,00,05,2019,17930,1549152000,ORD1426,300,PRO1106,Malbec,4/3/2019,03,00,00,04,2,00,14,2019,17989,1554249600,WNE1001
"",,,,,,,,,0,0,PROVIDER1022,RETAILER1004,Ordered,Delivery,3/3/2019,03,00,00,03,1,00,09,2019,17958,1551571200,ORD1427,500,PRO1107,Whelks,5/3/2019,03,00,00,05,2,00,18,2019,18019,1556841600,WNE1001
7/3/2019,03,00,00,07,3,00,27,2019,18080,1562112000,PROVIDER1022,RETAILER1004,Order Received,Delivery,4/3/2019,03,00,00,04,2,00,14,2019,17989,1554249600,ORD1428,400,PRO1108,Merlot,6/3/2019,03,00,00,06,2,00,22,2019,18050,1559520000,WNE1001
"",,,,,,,,,0,0,PROVIDER1022,RETAILER1004,Order Picked,Delivery,5/3/2019,03,00,00,05,2,00,18,2019,18019,1556841600,ORD1429,0,PRO1109,Cappuccino,7/3/2019,03,00,00,07,3,00,27,2019,18080,1562112000,WNE1001
"",,,,,,,,,0,0,PROVIDER1022,RETAILER1004,Order Packaged,Delivery,6/3/2019,03,00,00,06,2,00,22,2019,18050,1559520000,ORD1430,0,PRO1110,Espresso,8/3/2019,03,00,00,08,3,00,31,2019,18111,1564790400,WNE1001
"",,,,,,,,,0,0,PROVIDER1022,RETAILER1004,Order Shipped,Delivery,7/3/2019,03,00,00,07,3,00,27,2019,18080,1562112000,ORD1431,0,PRO1111,Flat White,9/3/2019,03,00,00,09,3,00,36,2019,18142,1567468800,WNE1001
11/3/2019,03,00,00,11,4,00,44,2019,18203,1572739200,PROVIDER1022,RETAILER1004,Item Delivered,Delivery,8/3/2019,03,00,00,08,3,00,31,2019,18111,1564790400,ORD1432,0,PRO1112,Long Black,10/3/2019,03,00,00,10,4,00,40,2019,18172,1570060800,WNE1001
"",,,,,,,,,0,0,PROVIDER1022,RETAILER1004,Ordered,Delivery,9/3/2019,03,00,00,09,3,00,36,2019,18142,1567468800,ORD1433,0,PRO1113,Macchiato,11/3/2019,03,00,00,11,4,00,44,2019,18203,1572739200,WNE1001
